CIVILSTAND;TID;OMRÅDE;INDHOLD
Gift/separeret;2008K1;København;128556
Gift/separeret;2008K2;København;128289
Gift/separeret;2008K3;København;128728
Gift/separeret;2008K4;København;130727
Gift/separeret;2009K1;København;130995
Gift/separeret;2009K2;København;130736
Gift/separeret;2009K3;København;131489
Gift/separeret;2009K4;København;133014
Gift/separeret;2010K1;København;133196
Gift/separeret;2010K2;København;132864
Gift/separeret;2010K3;København;133650
Gift/separeret;2010K4;København;135341
Gift/separeret;2011K1;København;135422
Gift/separeret;2011K2;København;135002
Gift/separeret;2011K3;København;135713
Gift/separeret;2011K4;København;136965
Gift/separeret;2012K1;København;136827
Gift/separeret;2012K2;København;136238
Gift/separeret;2012K3;København;136858
Gift/separeret;2012K4;København;137880
Gift/separeret;2013K1;København;138132
Gift/separeret;2013K2;København;137542
Gift/separeret;2013K3;København;137917
Gift/separeret;2013K4;København;139664
Gift/separeret;2014K1;København;138830
Gift/separeret;2014K2;København;138186
Gift/separeret;2014K3;København;138329
Gift/separeret;2014K4;København;139729
Gift/separeret;2015K1;København;139613
Gift/separeret;2015K2;København;139465
Gift/separeret;2015K3;København;139893
Gift/separeret;2015K4;København;141141
Gift/separeret;2016K1;København;140881
Gift/separeret;2016K2;København;140688
Gift/separeret;2016K3;København;141427
Gift/separeret;2016K4;København;143024
Gift/separeret;2017K1;København;143176
Gift/separeret;2017K2;København;142783
Gift/separeret;2017K3;København;143640
Gift/separeret;2017K4;København;145607
Gift/separeret;2018K1;København;145479
Gift/separeret;2018K2;København;145301
Gift/separeret;2018K3;København;146287
Gift/separeret;2018K4;København;148172
Gift/separeret;2019K1;København;147974
Gift/separeret;2019K2;København;147848
Gift/separeret;2019K3;København;148834
Gift/separeret;2019K4;København;150492
Gift/separeret;2020K1;København;150458
Gift/separeret;2020K2;København;149826
Gift/separeret;2020K3;København;149291
